# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Lac à Magie
     0.0     1.0     1.0    21.0     0.0     0.0     0.0     0.0    16.0     0.0
     0.0     0.0     0.0     0.0     0.0    17.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0    63.0
     0.0     0.0     0.0     8.0     1.0    23.0     5.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     6.0     0.0     0.0     0.0     0.0
   470.0     0.0     0.0     0.0     0.0     0.0     0.0    17.0     4.0   214.0
     3.0
860, , 10675
     0.0     0.0     0.0     0.0     1.0     3.0     0.0    35.0     0.0     1.0
     0.0     0.0     7.0     0.0     6.0     0.0     0.0     1.0     0.0     0.0
     0.0    77.0     0.0     9.0    21.0    19.0     0.0    39.0    17.0     0.0
     0.0     0.0     0.0     7.0     0.0    12.0     1.0     0.0     1.0     0.0
     0.0     0.0     3.0    12.0     0.0     0.0     0.0     0.0    10.0     0.0
     0.0     0.0     0.0     0.0     0.0    26.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    88.0
     0.0     0.0     0.0     5.0     1.0    26.0     1.0     3.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0    10.0     0.0     0.0     0.0     0.0
   491.0     0.0     0.0     0.0     0.0     1.0     0.0    24.0     2.0   226.0
     3.0
862, , 10773
     0.0     0.0     0.0     0.0     1.0     0.0     0.0    33.0     0.0     0.0
     0.0     1.0    20.0     0.0     2.0     0.0     0.0     3.0     0.0     0.0
     0.0    74.0     0.0     5.0    19.0    15.0     0.0    33.0     4.0     0.0
     0.0     0.0     0.0    16.0     0.0     3.0     0.0     0.0     0.0     0.0
