   686.0
540, , 7182
     0.0     3.0     0.0     2.0     0.0     0.0    91.0     0.0    35.0     1.0
     0.0    16.0     0.0     2.0     0.0     0.0     2.0    30.0     5.0     3.0
     5.0     0.0     0.0     2.0     0.0     0.0     8.0     1.0     4.0     0.0
     2.0    14.0    48.0     2.0     0.0   110.0     0.0     6.0     0.0     0.0
     0.0     0.0     0.0     1.0    54.0     4.0     2.0     1.0     1.0     0.0
     0.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     7.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     1.0     0.0     4.0     5.0     8.0     1.0
     0.0     0.0     0.0     0.0     2.0     2.0     3.0     0.0     1.0     0.0
     0.0     0.0     4.0     0.0     4.0     2.0     7.0     0.0     0.0     8.0
   638.0
560, , 7254
     0.0     6.0     0.0     1.0     0.0     0.0    69.0     0.0    36.0     1.0
     0.0    30.0     0.0     1.0     0.0     1.0     1.0    25.0     3.0     2.0
     6.0     1.0     0.0     0.0     0.0     0.0     5.0     3.0     6.0     2.0
     3.0    18.0    42.0     3.0     2.0   101.0     0.0     1.0     0.0     0.0
     1.0     0.0     1.0     1.0    59.0     5.0     0.0     0.0     4.0     0.0
     0.0     1.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     6.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     3.0     1.0
     0.0     1.0     0.0     0.0     0.0     5.0     1.0     1.0     0.0     0.0
     0.0     0.0     2.0     0.0     1.0     3.0     5.0     1.0     0.0     2.0
   562.0
580, , 7532
     0.0     5.0     1.0     0.0     0.0     0.0    23.0     0.0    43.0     1.0
     0.0    34.0     0.0     1.0     0.0     0.0     0.0    29.0     3.0     2.0
     1.0     2.0     0.0     0.0     0.0     0.0     4.0     2.0     5.0     2.0
     2.0    22.0    47.0     1.0     1.0   132.0     1.0     1.0     0.0     0.0
     0.0     0.0     0.0     2.0    87.0     3.0     1.0     0.0     4.0     0.0
     0.0     2.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     4.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     1.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     1.0     4.0     3.0     4.0
     0.0     0.0     0.0     0.0     2.0     7.0     0.0     1.0     1.0     1.0
     0.0     0.0     2.0     0.0     2.0     5.0     2.0     0.0     0.0     3.0
   591.0
615, , 8212
     0.0     2.0     7.0     1.0     0.0     0.0    12.0     0.0    71.0     3.0
     0.0    12.0     0.0     7.0     0.0     1.0     1.0    21.0     4.0     7.0
     0.0     1.0     0.0     0.0     0.0     0.0    16.0     1.0    16.0     2.0
     7.0    72.0    83.0     4.0     0.0   209.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    63.0     3.0     0.0     0.0     7.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     6.0     0.0    12.0
     0.0     0.0     0.0     1.0     4.0    15.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     1.0     1.0     1.0     1.0     0.0
   449.0
645, , 8794
     0.0     2.0     6.0     0.0     0.0     0.0     8.0     0.0    50.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     2.0     5.0     6.0
     0.0     0.0     0.0     1.0     0.0     0.0     4.0     0.0    13.0     0.0
     5.0    51.0    94.0     2.0     8.0   107.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    52.0     3.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     2.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0
     0.0     3.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     1.0    12.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     6.0     2.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     6.0     0.0     1.0     0.0     0.0     3.0
   198.0
675, , 9319
     5.0     8.0     4.0     0.0     0.0     0.0    22.0     0.0    64.0     0.0
     3.0     0.0     0.0     2.0     0.0     3.0     0.0     0.0     1.0    11.0
     1.0     0.0     0.0     1.0     0.0     0.0     1.0     0.0    17.0     3.0
     9.0   111.0   240.0     1.0    15.0   149.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     6.0     3.0     0.0     0.0     0.0     0.0
     1.0     1.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     5.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     2.0     0.0     0.0     9.0     0.0     1.0
     0.0     0.0     0.0     0.0     1.0     2.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     3.0     1.0     0.0     0.0     0.0
   262.0
690, , 9439
     8.0     4.0     3.0     6.0     0.0     4.0    56.0     0.0   123.0     1.0
     0.0     0.0     0.0     5.0     2.0     0.0     0.0     0.0     1.0    13.0
