# GPD ASCII Format
# 24 Apr 00
# Raw Counts - All Pollen Types
#
# ****************************************************************
# ** Please acknowledge the contributors and the North American **
# ** Pollen Database when using these data.                     **
# ****************************************************************
#
# Site name:      Burden Lake
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0
     0.0     2.0     1.0     3.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     6.0    19.0     2.0     0.0   330.0
620, , 5190
     0.0     0.0     8.0     1.0    12.0     2.0    26.0    57.0    26.0     1.0
     0.0     0.0     0.0     3.0     0.0    85.0    10.0     8.0     0.0     1.0
     5.0     0.0     2.0     1.0     0.0     0.0     0.0    25.0     0.0     1.0
     3.0    24.0     8.0     4.0   204.0     0.0     1.0     0.0     0.0     1.0
     0.0     1.0     0.0     2.0    75.0    16.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     3.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     1.0     2.0     0.0     1.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     1.0     1.0     3.0     1.0     2.0   305.0
650, , 5485
     0.0     0.0     5.0     0.0    11.0     1.0     7.0    14.0    15.0     0.0
     0.0     1.0     0.0     3.0     0.0    35.0     0.0     6.0     2.0     1.0
     2.0     0.0     0.0     0.0     2.0     0.0     0.0    12.0     1.0     1.0
     5.0    11.0     5.0     2.0   105.0     0.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0    41.0     7.0     0.0     1.0     1.0     1.0
     0.0     0.0     0.0     2.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     1.0     2.0     0.0     0.0     0.0     0.0     0.0     1.0     1.0
     0.0     0.0     0.0     0.0     1.0     2.0     1.0     0.0   136.0
680, , 5836
     0.0     0.0     3.0     0.0    25.0     0.0    24.0    65.0    23.0     2.0
     0.0     0.0     1.0     6.0     0.0   104.0    15.0    10.0     0.0     1.0
    10.0     0.0     0.0     0.0     2.0     2.0     2.0    19.0     0.0     2.0
     4.0    48.0     7.0     3.0   273.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     6.0   119.0    27.0     0.0     1.0     0.0     2.0
     0.0     0.0     1.0     4.0     0.0     0.0     4.0     0.0     2.0     0.0
     1.0     1.0     0.0     1.0     0.0     0.0     4.0     0.0     0.0     0.0
     1.0     0.0     5.0     1.0     0.0     0.0     0.0     0.0     4.0     1.0
     0.0     0.0     0.0     0.0     4.0     6.0     0.0     0.0   377.0
720, , 6309
     0.0     0.0     3.0     2.0    16.0     0.0    12.0    36.0    15.0     0.0
     0.0     0.0     0.0     1.0     0.0    90.0     7.0     0.0     0.0     0.0
     3.0     0.0     0.0     0.0     1.0     0.0     0.0    15.0     1.0     1.0
     2.0    21.0     9.0     1.0   146.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     3.0    87.0    11.0     0.0     3.0     1.0     0.0
     0.0     1.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     1.0     0.0     0.0     0.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     0.0
     0.0     0.0     0.0     2.0     1.0     1.0     1.0     2.0   144.0
750, , 6664
     0.0     0.0     4.0     0.0    13.0     1.0     9.0    27.0    13.0     0.0
     0.0     0.0     0.0     0.0     0.0    41.0     8.0     2.0     0.0     0.0
     1.0     0.0     0.0     1.0     0.0     0.0     0.0    14.0     1.0     0.0
     3.0    22.0     5.0     1.0   115.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     3.0    62.0     8.0     0.0     0.0     0.0     1.0
     0.0     0.0     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     1.0     0.0     0.0     0.0
     0.0     0.0     4.0     0.0     0.0     0.0     0.0     1.0     1.0     0.0
     0.0     1.0     0.0     3.0     8.0     5.0     3.0     1.0   140.0
780, , 6949
     1.0     0.0     8.0     1.0    11.0     0.0    20.0    53.0    12.0     0.0
     1.0     0.0     1.0     2.0     0.0    54.0    11.0     7.0     0.0     2.0
     6.0     0.0     0.0     0.0     5.0     2.0     0.0    22.0     1.0     0.0
    11.0    48.0     3.0     3.0   181.0     1.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    67.0    19.0     0.0     1.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     1.0     0.0
     0.0     1.0     0.0     0.0     0.0     0.0     0.0     0.0     2.0     1.0
     0.0     0.0     0.0     3.0     0.0     4.0     0.0     3.0   201.0
820, , 7317
     0.0     0.0     3.0     0.0    12.0     0.0    15.0    46.0     9.0     0.0
     0.0     0.0     1.0     1.0     0.0    76.0     8.0     7.0     0.0     1.0
     2.0     0.0     1.0     0.0     0.0     1.0     0.0    22.0     2.0     2.0
    16.0    67.0    17.0     3.0   222.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     1.0     0.0    88.0    19.0     0.0     1.0     1.0     0.0
     0.0     0.0     0.0     1.0     0.0     0.0     3.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0    17.0     0.0     0.0     0.0
     0.0     2.0     3.0     0.0     0.0     1.0     0.0     0.0     0.0     1.0
     0.0     0.0     2.0     0.0     6.0     4.0     0.0     1.0   221.0
850, , 7548
     0.0     1.0     3.0     0.0     4.0     0.0     5.0    25.0     1.0     1.0
     0.0     0.0     1.0     0.0     0.0    46.0     2.0     3.0     1.0     2.0
     0.0     0.0     0.0     0.0     0.0     0.0     0.0    17.0     5.0     2.0
     3.0    45.0     2.0     0.0    99.0     0.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0    65.0     4.0     0.0     0.0     0.0     0.0
     0.0     0.0     0.0     0.0     0.0     0.0     2.0     0.0     0.0     0.0
